symbol,last,percentChange,volume,value,marketCap,pe,pbv,deRatio,dps,eps,roa,roe,netProfitMargin,dividendYield,bookValuePerShare,listedShare
DMT,12.000000,0.000000,86263.000000,1034.245,14174793600.000000,13.070000,1.670000,0.083714,0.223000,0.440000,14.809334,12.766031,39.783402,7.330000,7.200000,1181232800.000000
DOD,0.860000,-2.272727,228900.000000,193.820,396364570.800000,212.210000,0.430000,0.226075,0.050000,-0.050000,-0.126827,0.201565,-8.027042,5.680000,2.040000,450414285.000000
DOHOME,3.480000,-0.571429,3137522.000000,10931.950,12315123422.000000,16.310000,0.880000,1.492851,0.004444,0.160000,3.694482,5.558238,3.471753,0.120000,3.970000,3518606692.000000
DPAINT,0.200000,5.263158,534800.000000,102.809,174080752.720000,,0.330000,1.027212,0.162000,-0.090000,-5.272787,-12.240308,-7.593869,,0.570000,916214488.000000
DRT,5.400000,0.934579,102438.000000,548.073,4574427085.000000,11.000000,1.780000,0.575804,0.200000,0.340000,11.836734,16.703334,11.071734,5.980000,3.000000,855033100.000000
DTCENT,0.940000,-1.052632,329700.000000,313.097,1249985647.700000,12.330000,0.810000,0.156911,0.060800,0.040000,7.510258,6.643195,14.249436,6.400000,1.170000,1315774366.000000
DTCI,,,,,155000000.000000,,0.410000,0.150541,0.250000,-0.590000,-2.247290,-2.517402,-10.320753,1.610000,37.560000,10000000.000000
DUSIT,10.800000,0.000000,67500.000000,721.800,9180000000.000000,67.390000,1.280000,3.690137,,0.340000,3.408281,1.936267,7.324941,,8.440000,850000000.000000
EA,2.900000,0.000000,5486829.000000,15931.881,21537722337.400002,,0.650000,1.606292,0.300000,0.010000,-3.638195,-12.099114,-5.165608,,4.490000,7426800806.000000
EASON,1.230000,-1.600000,7500.000000,9.225,708456181.250000,6.420000,0.730000,0.257492,0.080000,0.090000,11.094803,11.521689,13.201281,6.400000,1.710000,566764945.000000
EAST,0.790000,0.000000,221200.000000,174.747,1314923843.190000,7.320000,0.460000,1.065123,0.020000,0.050000,6.408024,6.485389,19.917725,2.530000,1.710000,1664460561.000000
EASTW,4.960000,-0.800000,408515.000000,2034.265,8318625745.000000,68.060000,0.720000,1.374115,0.010000,0.070000,2.316638,1.065043,6.787028,0.200000,6.930000,1663725149.000000
ECF,,,,,,,,4.890683,0.011000,-1.540000,-14.911648,-82.781421,-215.119332,,0.410000,1500846384.000000
EFORL,0.110000,0.000000,404567.000000,40.904,439832510.480000,10.400000,0.740000,0.914386,,,5.388212,7.362218,1.878851,,0.150000,3998477368.000000
